id,Espécie,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez
182,Ceiba pentandra,1,1,0,0,0,0,0,0,0,0,1,1
183,Ceiba pubiflora,0,0,0,0,0,0,1,1,0,0,0,0
184,Ceiba speciosa,0,0,0,0,0,1,1,1,1,1,0,0
186,Celtis iguanaea,1,1,1,1,1,0,0,0,0,0,0,0
187,Celtis pubescens,1,1,1,1,1,1,0,0,0,0,1,1
188,Cenchrus brownii,0,0,0,0,0,0,1,1,1,0,0,0
189,Cenostigma tocantinum,0,0,0,0,0,0,0,0,0,1,1,1
190,Centrolobium paraense,0,0,0,0,0,0,0,0,1,1,1,0
191,Centrolobium robustum,0,0,0,0,0,1,1,1,1,1,1,1
192,Centrolobium tomentosum,0,0,0,0,0,0,0,1,1,0,0,0
193,Centrosema virginianum,0,0,0,0,0,0,0,0,0,0,0,1
195,Chamaecrista flexuosa,1,1,1,1,1,1,1,1,1,0,1,1
196,Chascolytrum subaristatum,0,0,0,0,0,0,0,0,0,0,0,1
197,Cheiloclinium cognatum,1,1,0,0,0,0,0,0,0,0,1,1
200,Citharexylum myrianthum,1,1,1,0,0,0,0,0,0,0,0,0
202,Clarisia racemosa,0,0,0,0,0,0,1,1,1,0,0,0
203,Clitoria fairchildiana,0,0,0,0,1,1,1,0,0,0,0,0
204,Clusia criuva,0,0,0,0,0,0,0,1,1,1,0,0
205,Cnidoscolus quercifolius,0,0,1,1,1,1,1,1,0,0,0,0
206,Cochlospermum regium,0,0,0,0,0,0,0,1,1,0,0,0
208,Colubrina glandulosa,1,1,0,0,0,0,0,0,0,0,0,1
209,Combretum duarteanum,1,0,0,1,1,1,1,1,1,0,0,1
210,Combretum leprosum,1,1,1,1,1,1,0,0,0,0,1,1
211,Commiphora leptophloeos,0,0,1,1,1,1,0,0,0,0,0,0
212,Connarus suberosus,1,1,0,0,0,0,0,0,0,0,0,0
213,Copaifera duckei,0,1,1,1,1,1,1,0,0,0,0,0
214,Copaifera langsdorffii,0,0,0,0,1,1,1,1,1,1,0,0
215,Copaifera martii,0,0,0,0,0,0,1,1,0,0,0,0
216,Copaifera multijuga,0,0,0,0,0,0,1,1,0,0,0,0
217,Copernicia alba,0,0,1,1,1,0,0,0,0,0,0,0
218,Copernicia prunifera,1,1,1,0,0,0,0,0,0,0,1,1
219,Cordia alliodora,0,0,0,0,0,0,1,1,0,0,0,0
221,Cordia bicolor,1,1,1,0,0,0,0,0,0,1,1,1
222,Cordia glabrata,0,0,0,0,0,0,0,0,1,1,1,0
223,Cordia goeldiana,1,0,0,0,0,0,0,0,0,0,1,1
224,Cordia oncocalyx,0,0,0,0,0,1,1,1,1,0,0,0
225,Cordia sellowiana,0,0,0,0,0,0,0,0,1,1,0,0
226,Cordia superba,0,0,0,0,0,0,0,0,1,1,1,0
227,Cordia trichotoma,0,0,0,0,0,0,0,0,1,1,0,0
228,Cordiera sessilis,1,0,0,0,0,0,0,0,0,0,1,1
229,Couepia bracteosa,0,1,1,1,1,0,0,0,0,0,0,0
230,Couepia grandiflora,1,1,0,0,0,0,0,0,0,0,0,0
231,Couepia longipendula,1,1,1,0,0,0,0,0,0,0,1,1
232,Couma macrocarpa,0,0,1,1,1,1,0,0,0,0,0,0
233,Couma utilis,1,1,0,0,0,0,0,0,0,0,1,1
234,Couratari guianensis,1,1,1,1,1,1,0,0,0,0,1,1
235,Couratari stellata,1,1,0,0,0,0,0,0,0,0,0,0
236,Crateva tapia,0,0,1,1,1,0,0,0,0,0,0,0
237,Crotalaria tweediana,0,0,0,1,0,0,0,0,0,0,0,0
238,Croton conduplicatus,0,1,1,1,0,0,0,0,0,0,0,0
239,Croton floribundus,1,1,0,0,0,0,0,0,0,0,0,0
240,Croton sonderianus,0,1,1,1,0,0,0,0,0,0,0,0
241,Croton urucurana,0,1,1,1,1,1,1,0,0,0,0,0
242,Crudia oblonga,0,0,1,1,0,0,0,0,0,0,0,0
243,Ctenium chapadense,0,0,1,1,1,0,0,0,0,0,0,0
244,Cupania oblongifolia,0,0,0,0,0,0,0,0,1,1,0,0
245,Cupania scrobiculata,0,0,1,1,1,0,0,0,0,0,0,0
247,Curatella americana,0,0,0,0,0,0,0,1,1,1,1,0
248,Cybistax antisyphillitica,0,0,0,1,1,1,1,1,1,1,0,0
